stop_id,latitude,longitude,visit_count,avg_dwell_time,total_dwell_time,num_buses
7,12.988359012835957,80.22354440927016,1085,5277.649769585253,5726250.0,19
40,13.040732694942044,80.2472690163474,387,93.07235142118863,36019.0,18
12,13.006023601899933,80.24185426128416,352,739.8153409090909,260415.0,17
10,12.986574179208334,80.23849897818208,349,761.6991404011461,265833.0,12
44,12.986948909473853,80.25905370998721,329,336.4072948328267,110678.0,11
0,12.991131596142067,80.2323877381215,312,6684.9807692307695,2085714.0,20
6,12.990311069497887,80.24218769844113,209,497.11961722488036,103898.0,6
11,12.998898874085473,80.23927687788367,185,275.8216216216216,51027.0,12
16,12.990056781495417,80.2265494459874,165,424.05454545454546,69969.0,12
45,12.987715418572122,80.25537694547268,138,96.21014492753623,13277.0,8
63,13.034336980931927,80.23008746681771,136,309.7720588235294,42129.0,6
65,13.014394103154922,80.22566657285978,114,194058.69298245615,22122691.0,6
41,13.027045802309496,80.23305758810103,98,79.70408163265306,7811.0,16
2,12.992018879107132,80.23379935023185,90,155.45555555555555,13991.0,16
66,13.000299726969406,80.26624591290724,67,446.5970149253731,29922.0,8
72,12.981343526098525,80.24303938859173,66,60.65151515151515,4003.0,6
69,13.023938606969029,80.22820353843547,61,112.8360655737705,6883.0,12
9,12.993816494873764,80.23442450697205,59,135.35593220338984,7986.0,12
15,12.990829416646607,80.23014329659551,58,48.56896551724138,2817.0,8
38,13.006341400460743,80.25724805135816,55,65.76363636363637,3617.0,9
1,12.986741340632893,80.23355437960029,52,302.5576923076923,15733.0,10
70,13.026234178143534,80.23200301344275,43,71.79069767441861,3087.0,9
55,13.02259835911337,80.2762461359921,43,888.0697674418604,38187.0,4
105,12.984632335332584,80.25945694005337,41,268.4634146341463,11007.0,5
49,13.045600103268049,80.24826009980794,41,727.219512195122,29816.0,13
23,12.991763154262257,80.23453736137853,35,2729.657142857143,95538.0,4
95,13.052425286014357,80.24123606989902,33,57.57575757575758,1900.0,4
104,12.98769680714135,80.25138052141861,32,74.875,2396.0,4
27,12.992057032204299,80.23098772627527,30,15090.3,452709.0,5
60,13.053426971727083,80.22776904928502,29,40.41379310344828,1172.0,7
88,13.006586238983692,80.25203298120825,22,65.54545454545455,1442.0,5
67,13.015522407368103,80.22494708372805,22,35.13636363636363,773.0,9
85,13.037282958607072,80.24638954439837,22,57.18181818181818,1258.0,10
74,13.040785648915364,80.23073459106466,22,44.86363636363637,987.0,2
